MapID,MapName,Version,EncounterType,Density,Chance,Species,Form,MinLevel,MaxLevel,Status,Notes
002,Lappet Town,0,Water,2,60,TENTACOOL,"",14,19,"",""
002,Lappet Town,0,Water,2,30,MANTYKE,"",15,16,"",""
002,Lappet Town,0,Water,2,10,REMORAID,"",14,16,"",""
002,Lappet Town,0,OldRod,"",100,MAGIKARP,"",16,19,"",""
002,Lappet Town,0,GoodRod,"",60,BARBOACH,"",17,18,"",""
002,Lappet Town,0,GoodRod,"",20,KRABBY,"",15,16,"",""
002,Lappet Town,0,GoodRod,"",20,SHELLDER,"",16,19,"",""
002,Lappet Town,0,SuperRod,"",40,CHINCHOU,"",17,19,"",""
002,Lappet Town,0,SuperRod,"",40,QWILFISH,"",16,19,"",""
002,Lappet Town,0,SuperRod,"",15,CORSOLA,"",15,18,"",""
002,Lappet Town,0,SuperRod,"",5,STARYU,"",15,17,"",""
005,Route 1,0,Land,21,40,PIDGEY,"",11,14,"",""
005,Route 1,0,Land,21,40,RATTATA,"",11,14,"",""
005,Route 1,0,Land,21,9,PIDGEY,"",11,13,"",""
005,Route 1,0,Land,21,9,RATTATA,"",11,13,"",""
005,Route 1,0,Land,21,1,PIDGEY,"",14,14,"",""
005,Route 1,0,Land,21,1,RATTATA,"",14,14,"",""
005,Route 1,0,LandNight,21,39,RATTATA,"",10,14,"",""
005,Route 1,0,LandNight,21,30,HOOTHOOT,"",10,13,"",""
005,Route 1,0,LandNight,21,20,SPINARAK,"",8,12,"",""
005,Route 1,0,LandNight,21,9,HOOTHOOT,"",10,14,"",""
005,Route 1,0,LandNight,21,1,HOOTHOOT,"",14,14,"",""
005,Route 1,0,LandNight,21,1,RATTATA,"",15,15,"",""
005,Route 1,0,PokeRadar,20,100,STARLY,"",12,15,"",""
005,Route 1,1,Land,21,40,PIDGEY,"",15,18,"",""
005,Route 1,1,Land,21,40,RATTATA,"",14,18,"",""
005,Route 1,1,Land,21,10,SENTRET,"",13,17,"",""
005,Route 1,1,Land,21,5,PIDGEY,"",14,16,"",""
005,Route 1,1,Land,21,5,RATTATA,"",13,16,"",""
005,Route 1,1,LandNight,21,40,RATTATA,"",14,18,"",""
005,Route 1,1,LandNight,21,30,HOOTHOOT,"",14,17,"",""
005,Route 1,1,LandNight,21,20,SPINARAK,"",12,16,"",""
005,Route 1,1,LandNight,21,10,CLEFAIRY,"",11,15,"",""
021,Route 2,0,Land,21,50,RATTATA,"",12,15,"",""
021,Route 2,0,Land,21,30,POOCHYENA,"",11,15,"",""
021,Route 2,0,Land,21,10,SHINX,"",10,11,"",""
021,Route 2,0,Land,21,10,SHINX,"",10,12,"",""
021,Route 2,0,Water,2,60,MAGIKARP,"",7,10,"",""
021,Route 2,0,Water,2,30,GOLDEEN,"",11,14,"",""
021,Route 2,0,Water,2,10,STARYU,"",12,15,"",""
021,Route 2,0,OldRod,"",70,MAGIKARP,"",7,10,"",""
021,Route 2,0,OldRod,"",30,MAGIKARP,"",9,15,"",""
021,Route 2,0,GoodRod,"",60,GOLDEEN,"",12,14,"",""
021,Route 2,0,GoodRod,"",20,FINNEON,"",12,15,"",""
021,Route 2,0,GoodRod,"",20,MAGIKARP,"",12,17,"",""
021,Route 2,0,SuperRod,"",40,FINNEON,"",12,15,"",""
021,Route 2,0,SuperRod,"",40,GOLDEEN,"",12,14,"",""
021,Route 2,0,SuperRod,"",15,STARYU,"",12,15,"",""
021,Route 2,0,SuperRod,"",5,STARYU,"",14,17,"",""
021,Route 2,0,HeadbuttLow,"",50,PINECO,"",11,13,"",""
021,Route 2,0,HeadbuttLow,"",30,LEDYBA,"",6,8,"",""
021,Route 2,0,HeadbuttLow,"",19,SPINARAK,"",9,12,"",""
021,Route 2,0,HeadbuttLow,"",1,MUNCHLAX,"",11,14,"",""
021,Route 2,0,HeadbuttHigh,"",50,PINECO,"",11,13,"",""
021,Route 2,0,HeadbuttHigh,"",30,WURMPLE,"",6,8,"",""
021,Route 2,0,HeadbuttHigh,"",20,SPINARAK,"",9,12,"",""
021,Route 2,0,PokeRadar,10,100,STANTLER,"",14,14,"",""
028,Natural Park,0,Land,21,20,CATERPIE,"",10,10,"",""
028,Natural Park,0,Land,21,20,SUNKERN,"",12,12,"",""
028,Natural Park,0,Land,21,20,WEEDLE,"",10,10,"",""
028,Natural Park,0,Land,21,15,PIDGEY,"",12,14,"",""
028,Natural Park,0,Land,21,15,PIDGEY,"",10,14,"",""
028,Natural Park,0,Land,21,5,KAKUNA,"",10,10,"",""
028,Natural Park,0,Land,21,5,METAPOD,"",10,10,"",""
028,Natural Park,0,LandNight,21,30,HOOTHOOT,"",10,14,"",""
028,Natural Park,0,LandNight,21,30,SPINARAK,"",10,15,"",""
028,Natural Park,0,LandNight,21,20,PINECO,"",9,13,"",""
028,Natural Park,0,LandNight,21,10,DROWZEE,"",9,15,"",""
028,Natural Park,0,LandNight,21,10,NATU,"",12,14,"",""
028,Natural Park,0,LandMorning,21,25,CATERPIE,"",10,12,"",""
028,Natural Park,0,LandMorning,21,25,WEEDLE,"",10,12,"",""
028,Natural Park,0,LandMorning,21,20,PIDGEY,"",10,14,"",""
028,Natural Park,0,LandMorning,21,15,KAKUNA,"",10,10,"",""
028,Natural Park,0,LandMorning,21,15,METAPOD,"",10,10,"",""
028,Natural Park,0,BugContest,21,20,CATERPIE,"",7,18,"",""
028,Natural Park,0,BugContest,21,20,WEEDLE,"",7,18,"",""
028,Natural Park,0,BugContest,21,10,KAKUNA,"",9,18,"",""
028,Natural Park,0,BugContest,21,10,METAPOD,"",9,18,"",""
028,Natural Park,0,BugContest,21,10,PARAS,"",10,17,"",""
028,Natural Park,0,BugContest,21,10,VENONAT,"",10,16,"",""
028,Natural Park,0,BugContest,21,5,BEEDRILL,"",12,15,"",""
028,Natural Park,0,BugContest,21,5,BUTTERFREE,"",12,15,"",""
028,Natural Park,0,BugContest,21,5,PINSIR,"",13,14,"",""
028,Natural Park,0,BugContest,21,5,SCYTHER,"",13,14,"",""
