MapID,EventID,EventName,TrainerType,TrainerName,Version,ScriptCall,NPC_Level,Status,Notes
010,4,Trainer(3),CAMPER,Liam,0,TrainerBattle.start,"","",""
031,5,Trainer(2),CAMPER,Jeff,0,TrainerBattle.start,"","",""
031,11,Double trainer F,COOLCOUPLE,Alice & Bob,0,TrainerBattle.start,"","",""
031,6,Trainer(2),PICNICKER,Susie,0,TrainerBattle.start,"","",""
031,12,Double trainer M,COOLCOUPLE,Alice & Bob,0,TrainerBattle.start,"","",""
031,7,Trainer(1),BEAUTY,Bridget,0,TrainerBattle.start,"","",""
031,8,Trainer(1),HIKER,Ford,0,TrainerBattle.start,"","",""
031,9,Trainer(1),FISHERMAN,Andrew,0,TrainerBattle.start,"","",""
031,15,"Rival controller size(2,1)",RIVAL1,Blue,1,TrainerBattle.start,"","",""
031,15,"Rival controller size(2,1)",RIVAL1,Blue,2,TrainerBattle.start,"","",""
031,15,"Rival controller size(2,1)",RIVAL1,Blue,0,TrainerBattle.start,"","",""
031,4,Trainer(2),YOUNGSTER,Ben,0,TrainerBattle.start,"","",""
031,10,Trainer(2),LASS,Crissy,0,TrainerBattle.start,"","",""
033,301,Laborer,KOBOLD,Kobold Laborer,0,NorthshireAbbeyEvents.run(:kobold_laborer),3,"",""
033,302,Kobold Laborer,KOBOLD,Kobold Laborer,0,NorthshireAbbeyEvents.run(:kobold_laborer),3,"",""
033,303,Kobold Laborer,KOBOLD,Kobold Laborer,0,NorthshireAbbeyEvents.run(:kobold_laborer),3,"",""
037,3,Champion,CHAMPION,Blue,0,TrainerBattle.start,"","",""
047,5,Shadow trainer - basic,TEAMROCKET_M,Grunt,1,TrainerBattle.start,"","",""
047,6,Shadow trainer - repeat,TEAMROCKET_F,Grunt,1,TrainerBattle.start,"","",""
069,5,Trainer(3),SWIMMER2_F,Ariel,0,TrainerBattle.start,"","",""
076,5,Kobold Vermin,KOBOLD,Kobold Vermin,0,pbBattleKoboldVerminTrainer,1,"",""
076,6,Kobold Vermin,KOBOLD,Kobold Vermin,0,pbBattleKoboldVerminTrainer,1,"",""
076,3,Kobold Vermin,KOBOLD,Kobold Vermin,0,pbBattleKoboldVerminTrainer,1,"",""
076,4,Kobold Vermin,KOBOLD,Kobold Vermin,0,pbBattleKoboldVerminTrainer,1,"",""
076,250,Worker,KOBOLD,Kobold Worker,0,NorthshireAbbeyEvents.run(:kobold_worker),2,"",""
076,251,Kobold Worker,KOBOLD,Kobold Worker,0,NorthshireAbbeyEvents.run(:kobold_worker),2,"",""
076,252,Kobold Worker,KOBOLD,Kobold Worker,0,NorthshireAbbeyEvents.run(:kobold_worker),2,"",""
076,253,Kobold Worker,KOBOLD,Kobold Worker,0,NorthshireAbbeyEvents.run(:kobold_worker),2,"",""
076,254,Kobold Worker,KOBOLD,Kobold Worker,0,NorthshireAbbeyEvents.run(:kobold_worker),2,"",""
076,256,Reinforcement Test Trainer,YOUNGSTER,Ben (reinforcement test),0,NorthshireAbbeyEvents.run(:reinforcement_test_trainer),3,"",""
